,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
A0A2K3NY65,A0A2K3NY65_TRIPR,L195_g004452,NA,NA,NA,L195_g004452,Trifolium pratense (Red clover),57577,Protein argonaute 1-like,UP000236291: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Fabales, Fabaceae, Papilionoideae, 50 kb inversion clade, NPAAA clade, Hologalegina, IRL clade, Trifolieae, Trifolium, Trifolium pratense (Red clover)",NA
F4NYW7,F4NYW7_BATDJ,BATDEDRAFT_16026,NA,NA,NA,BATDEDRAFT_16026,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus),684364,Uncharacterized protein,UP000007241: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Chytridiomycota, Chytridiomycota incertae sedis, Chytridiomycetes, Rhizophydiales, Rhizophydiales incertae sedis, Batrachochytrium, Batrachochytrium dendrobatidis (Frog chytrid fungus), Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)",NA
A0A409Y6G2,A0A409Y6G2_9AGAR,CVT24_004044,NA,NA,NA,CVT24_004044,Panaeolus cyanescens,181874,Piwi domain-containing protein,UP000284842: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Bolbitiaceae, Panaeolus, Panaeolus cyanescens",NA
A0A0L0HAB7,A0A0L0HAB7_SPIPD,SPPG_06944,NA,NA,NA,SPPG_06944,Spizellomyces punctatus (strain DAOM BR117),645134,Uncharacterized protein,UP000053201: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Chytridiomycota, Chytridiomycota incertae sedis, Chytridiomycetes, Spizellomycetales, Spizellomycetaceae, Spizellomyces, Spizellomyces punctatus, Spizellomyces punctatus (strain DAOM BR117)",NA
D8PZT7,D8PZT7_SCHCM,SCHCODRAFT_66645,NA,NA,NA,SCHCODRAFT_66645,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus),578458,Uncharacterized protein,UP000007431: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Schizophyllaceae, Schizophyllum, Schizophyllum commune (Split gill fungus), Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus)",NA
A0A1D1W4K0,A0A1D1W4K0_RAMVA,RvY_15950 RvY_15950.1 RvY_15950-1,RvY_15950,RvY_15950.1,NA,RvY_15950-1,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,Uncharacterized protein,UP000186922: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Tardigrada (water bears), Eutardigrada, Parachela, Hypsibioidea, Ramazzottiidae, Ramazzottius, Ramazzottius varieornatus (Water bear) (Tardigrade)",NA
A7RQ46,A7RQ46_NEMVE,v1g180719,NA,NA,NA,v1g180719,Nematostella vectensis (Starlet sea anemone),45351,Predicted protein,UP000001593: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa (anthozoans), Hexacorallia, Actiniaria (sea anemones), Edwardsiidae, Nematostella, Nematostella vectensis (Starlet sea anemone)",NA
W4YU94,W4YU94_STRPU,NA,NA,NA,NA,NA,Strongylocentrotus purpuratus (Purple sea urchin),NA,Deleted.,NA,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Echinodermata, Eleutherozoa, Echinozoa, Echinoidea (sea urchins), Euechinoidea, Echinacea, Camarodonta, Echinidea, Strongylocentrotidae, Strongylocentrotus, Strongylocentrotus purpuratus (Purple sea urchin)",NA
A7BJS5,A7BJS5_BOMMO,Ago1 100124421,Ago1,100124421,NA,NA,Bombyx mori (Silk moth),7091,Argonaute 1,UP000005204: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera (butterflies and moths), Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Bombycoidea (hawk-moths), Bombycidae (silkworm moths), Bombycinae, Bombyx, Bombyx mori (Silk moth)",NA
D8SNM6,D8SNM6_SELML,SELMODRAFT_181346,NA,NA,NA,SELMODRAFT_181346,Selaginella moellendorffii (Spikemoss),88036,Uncharacterized protein,UP000001514: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Lycopodiopsida (clubmosses), Selaginellales (spike mosses), Selaginellaceae, Selaginella, Selaginella moellendorffii (Spikemoss)",NA
A0A1J8PPA3,A0A1J8PPA3_9AGAM,AZE42_07271,NA,NA,NA,AZE42_07271,Rhizopogon vesiculosus,180088,Uncharacterized protein,UP000183567: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Boletales, Suillineae, Rhizopogonaceae, Rhizopogon, Rhizopogon vesiculosus",NA
X1WG39,X1WG39_DANRE,ago1,ago1,NA,NA,NA,Danio rerio (Zebrafish) (Brachydanio rerio),7955,Argonaute RISC component 1,UP000000437: Chromosome 16,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes (carps and others), Cyprinoidei, Danionidae, Danioninae, Danio, Danio rerio (Zebrafish) (Brachydanio rerio)",NA
M5FQK2,M5FQK2_DACPD,DACRYDRAFT_25434,NA,NA,NA,DACRYDRAFT_25434,Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus),1858805,Piwi-domain-containing protein,UP000030653: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Dacrymycetes, Dacrymycetales, Dacrymycetaceae, Dacryopinax, Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus)",NA
Q69VD5,PNH1_ORYSJ,PHN1 Os06g0597400 LOC_Os06g39640 P0417D05.31,PHN1,NA,Os06g0597400 LOC_Os06g39640,P0417D05.31,Oryza sativa subsp. japonica (Rice),39947,Protein argonaute PNH1 (Protein PINHEAD homolog 1) (OsPNH1),"UP000000763: Chromosome 6, UP000059680: Chromosome 6","cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, Liliopsida, Petrosaviidae, commelinids, Poales, Poaceae, BOP clade, Oryzoideae, Oryzeae, Oryzinae, Oryza, Oryza sativa (Rice), Oryza sativa subsp. japonica (Rice)",NA
A0A2R6NSC2,A0A2R6NSC2_9APHY,PHLCEN_2v8900,NA,NA,NA,PHLCEN_2v8900,Phlebia centrifuga,98765,Uncharacterized protein,UP000186601: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Meruliaceae, Phlebia, Phlebia centrifuga",NA
A0A0D8XL16,A0A0D8XL16_DICVI,DICVIV_08655,NA,NA,NA,DICVIV_08655,Dictyocaulus viviparus (Bovine lungworm),29172,Piwi domain protein,UP000053766: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Trichostrongyloidea, Dictyocaulidae, Dictyocaulinae, Dictyocaulus, Dictyocaulus viviparus (Bovine lungworm)",NA
A0A016WPN3,A0A016WPN3_9BILA,Acey_s0566.g27 Y032_0566g27,Acey_s0566.g27,NA,NA,Y032_0566g27,Ancylostoma ceylanicum,53326,Uncharacterized protein,UP000024635: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Ancylostomatoidea, Ancylostomatidae, Ancylostomatinae, Ancylostoma, Ancylostoma ceylanicum",NA
Q9QZ81,AGO2_RAT,Ago2 Eif2c2,Ago2,Eif2c2,NA,NA,Rattus norvegicus (Rat),10116,Protein argonaute-2 (Argonaute2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Golgi ER protein 95 kDa) (GERp95) (Protein slicer),UP000002494: Unplaced,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Myomorpha (mice and others), Muroidea, Muridae, Murinae, Rattus, Rattus norvegicus (Rat)",NA
G5EES3,G5EES3_CAEEL,alg-1 CELE_F48F7.1 F48F7.1,alg-1,NA,NA,CELE_F48F7.1 F48F7.1,Caenorhabditis elegans,6239,Protein argonaute,UP000001940: Chromosome X,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Rhabditina, Rhabditomorpha, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",NA
A0A0K0EFP6,A0A0K0EFP6_STRER,NA,NA,NA,NA,NA,Strongyloides stercoralis (Threadworm),6248,Uncharacterized protein,UP000035681: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Tylenchina, Panagrolaimomorpha, Strongyloidoidea, Strongyloididae, Strongyloides, Strongyloides stercoralis (Threadworm)",NA
Q8CJG0,AGO2_MOUSE,Ago2 Eif2c2 Kiaa4215,Ago2,Eif2c2 Kiaa4215,NA,NA,Mus musculus (Mouse),10090,Protein argonaute-2 (Argonaute2) (mAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Piwi/argonaute family protein meIF2C2) (Protein slicer),UP000000589: Chromosome 15,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Myomorpha (mice and others), Muroidea, Muridae, Murinae, Mus, Mus, Mus musculus (Mouse)",NA
A0A1D5NTU6,A0A1D5NTU6_CHICK,AGO2 EIF2C2,AGO2,EIF2C2,NA,NA,Gallus gallus (Chicken),9031,Protein argonaute-2 (Argonaute2) (EC 3.1.26.n2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (Protein slicer),UP000000539: Chromosome 2,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae (turkeys), Phasianinae, Gallus, Gallus gallus (Chicken)",NA
V2WTL2,V2WTL2_MONRO,Moror_7785,NA,NA,NA,Moror_7785,Moniliophthora roreri (strain MCA 2997) (Cocoa frosty pod rot fungus) (Crinipellis roreri),1381753,Argonaute-like protein,UP000017559: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Marasmiaceae, Moniliophthora, Moniliophthora roreri, Moniliophthora roreri (strain MCA 2997) (Cocoa frosty pod rot fungus) (Crinipellis roreri)",NA
A0A0V0YLH8,A0A0V0YLH8_TRIPS,AGO2 T4B_11250 T4E_3510,AGO2,NA,NA,T4B_11250 T4E_3510,Trichinella pseudospiralis (Parasitic roundworm),6337,Protein argonaute-2 (Fragment),"UP000054805: Unassembled WGS sequence, UP000054815: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Enoplea, Dorylaimia, Trichinellida, Trichinellidae, Trichinella, Trichinella pseudospiralis (Parasitic roundworm)",NA
A0A139WDH0,A0A139WDH0_TRICA,TcasGA2_TC005857,NA,NA,NA,TcasGA2_TC005857,Tribolium castaneum (Red flour beetle),7070,Argonaute 1,UP000007266: Linkage group 8,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Tenebrionoidea, Tenebrionidae (darkling ground beetles), Tenebrionidae incertae sedis, Tribolium, Tribolium castaneum (Red flour beetle)",NA
A0A0R3W9Q7,A0A0R3W9Q7_TAEAS,TASK_LOCUS7210,NA,NA,NA,TASK_LOCUS7210,Taenia asiatica (Asian tapeworm),60517,Uncharacterized protein,"UP000046400: Unplaced, UP000282613: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Cestoda, Eucestoda, Cyclophyllidea, Taeniidae, Taenia, Taenia asiatica (Asian tapeworm)",NA
H3DS31,H3DS31_PRIPA,WBGene00089766,WBGene00089766,NA,NA,NA,Pristionchus pacificus (Parasitic nematode),54126,Alg-1,UP000005239: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Rhabditina, Diplogasteromorpha, Diplogasteroidea, Neodiplogasteridae, Pristionchus, Pristionchus pacificus (Parasitic nematode)",NA
A0A1Y1HWP2,A0A1Y1HWP2_KLENI,KFL_000850250,NA,NA,NA,KFL_000850250,Klebsormidium nitens (Green alga) (Ulothrix nitens),105231,Argonaute family protein,UP000054558: Unassembled WGS sequence,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Klebsormidiophyceae, Klebsormidiales, Klebsormidiaceae, Klebsormidium, Klebsormidium nitens (Green alga) (Ulothrix nitens)",NA
G4T5G9,G4T5G9_SERID,PIIN_00261,NA,NA,NA,PIIN_00261,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,Related to argonaute-like protein-Laccaria bicolor,UP000007148: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Sebacinales, Serendipitaceae, Serendipita, Serendipita indica (Root endophyte fungus) (Piriformospora indica), Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica)",NA
B7QCC4,B7QCC4_IXOSC,8039115 IscW_ISCW013378,8039115,NA,NA,IscW_ISCW013378,Ixodes scapularis (Black-legged tick) (Deer tick),6945,"Translation initiation factor 2C, putative",UP000001555: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida (ticks), Ixodoidea, Ixodidae (hardbacked ticks), Ixodinae, Ixodes, Ixodes scapularis (Black-legged tick) (Deer tick)",NA
A0A0B2UV00,A0A0B2UV00_TOXCA,Ago2 Tcan_09121 TCNE_LOCUS5787,Ago2,NA,NA,Tcan_09121 TCNE_LOCUS5787,Toxocara canis (Canine roundworm),6265,Protein argonaute-2,"UP000031036: Unassembled WGS sequence, UP000050794: Unplaced, UP000267007: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Ascaridomorpha, Ascaridoidea, Toxocaridae, Toxocara, Toxocara canis (Canine roundworm)",NA
M7BCJ9,M7BCJ9_CHEMY,UY3_07923,NA,NA,NA,UY3_07923,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,Protein argonaute-1 (Fragment),UP000031443: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Testudines (turtles), Cryptodira (hidden-necked turtles), Durocryptodira, Americhelydia, Chelonioidea, Cheloniidae (sea turtles), Chelonia, Chelonia mydas (Green sea-turtle) (Chelonia agassizi)",NA
E9GN30,E9GN30_DAPPU,DAPPUDRAFT_305022,NA,NA,NA,DAPPUDRAFT_305022,Daphnia pulex (Water flea),6669,Putative Argonaute protein,UP000000305: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Crustacea, Branchiopoda, Phyllopoda, Diplostraca, Cladocera (water fleas), Anomopoda, Daphniidae, Daphnia (common water fleas), Daphnia pulex (Water flea)",NA
Q7PZ41,Q7PZ41_ANOGA,AgaP_AGAP011717,NA,NA,NA,AgaP_AGAP011717,Anopheles gambiae (African malaria mosquito),7165,AGAP011717-PA,NA,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Culicoidea, Culicidae (mosquitos), Anophelinae, Anopheles, Cellia, Pyretophorus, gambiae species complex, Anopheles gambiae (African malaria mosquito)",NA
A0A077Z361,A0A077Z361_TRITR,TTRE_0000322201,NA,NA,NA,TTRE_0000322201,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,Argonaute 2,UP000030665: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Enoplea, Dorylaimia, Trichinellida, Trichuridae, Trichuris, Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)",NA
R7U9I3,R7U9I3_CAPTE,CAPTEDRAFT_143595,NA,NA,NA,CAPTEDRAFT_143595,Capitella teleta (Polychaete worm),283909,Uncharacterized protein,UP000014760: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Annelida, Polychaeta (polychaetes), Sedentaria, Scolecida, Capitellidae, Capitella, Capitella teleta (Polychaete worm)",NA
A0A1X7V1N5,A0A1X7V1N5_AMPQE,100632033,100632033,NA,NA,NA,Amphimedon queenslandica (Sponge),400682,Uncharacterized protein,UP000007879: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Porifera (sponges), Demospongiae, Heteroscleromorpha, Haplosclerida, Niphatidae, Amphimedon, Amphimedon queenslandica (Sponge)",NA
A0A0K0JDP1,A0A0K0JDP1_BRUMA,Bm1_13960 Bm4213 BM_Bm4213,Bm1_13960,NA,NA,Bm4213 BM_Bm4213,Brugia malayi (Filarial nematode worm),6279,"Argonaute 2, putative (Bm4213)",UP000006672: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Spiruromorpha, Filarioidea, Onchocercidae, Brugia, Brugia malayi (Filarial nematode worm)",NA
A0A0N4UKJ1,A0A0N4UKJ1_DRAME,DME_LOCUS10321,NA,NA,NA,DME_LOCUS10321,Dracunculus medinensis (Guinea worm),318479,Uncharacterized protein,"UP000038040: Unplaced, UP000274756: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Rhabditida, Spirurina, Dracunculoidea, Dracunculidae, Dracunculus, Dracunculus medinensis (Guinea worm)",NA
A0A498N3A3,A0A498N3A3_LABRO,EIF2C4 AGO4 ROHU_020781,EIF2C4,AGO4,NA,ROHU_020781,Labeo rohita (Indian major carp) (Cyprinus rohita),84645,Protein argonaute-4 (Argonaute4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4),UP000290572: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes (carps and others), Cyprinoidei, Cyprinidae, Labeoninae, Labeonini, Labeo, Labeo rohita (Indian major carp) (Cyprinus rohita)",NA
A0A3M0IQP5,A0A3M0IQP5_HIRRU,DUI87_32384,NA,NA,NA,DUI87_32384,Hirundo rustica rustica,333673,Uncharacterized protein,UP000269221: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Passeriformes, Sylvioidea, Hirundinidae (swallows), Hirundo, Hirundo rustica (Barn swallow), Hirundo rustica rustica",NA
A0A0L8GBV4,A0A0L8GBV4_OCTBM,OCBIM_22036423mg,NA,NA,NA,OCBIM_22036423mg,Octopus bimaculoides (California two-spotted octopus),37653,Uncharacterized protein,UP000053454: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Cephalopoda (cephalopods), Coleoidea, Octopodiformes, Octopoda, Incirrata, Octopodidae, Octopus, Octopus bimaculoides (California two-spotted octopus)",NA
Q32KD4,Q32KD4_DROME,AGO1 Ago AGO-1 Ago-1 Ago1 ago1 ago1-1 AGO1-RC Agp1 anon-WO0257455.29 argonaute1 dAGO1 dAgo1 Dm Ago1 DmAgo1 dmAgo1 Dmel\CG6671 l(2)04845 l(2)4845 l(2)k00208 l(2)k08121 MRE20 CG6671 Dmel_CG6671,AGO1,Ago AGO-1 Ago-1 Ago1 ago1 ago1-1 AGO1-RC Agp1 anon-WO0257455.29 argonaute1 dAGO1 dAgo1 Dm Ago1 DmAgo1 dmAgo1 Dmel\CG6671 l(2)04845 l(2)4845 l(2)k00208 l(2)k08121 MRE20,NA,CG6671 Dmel_CG6671,Drosophila melanogaster (Fruit fly),7227,"Argonaute-1, isoform A (Argonaute-1, isoform C) (Argonaute-1, isoform D) (LP02696p) (SD07283p)",UP000000803: Chromosome 2R,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, melanogaster group, melanogaster subgroup, Drosophila melanogaster (Fruit fly)",NA
A0A1J1JBJ0,A0A1J1JBJ0_9DIPT,putative Protein argonaute-2 CLUMA_CG021398,putative Protein argonaute-2,NA,NA,CLUMA_CG021398,Clunio marinus,568069,"CLUMA_CG021398, isoform A",UP000183832: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Chironomoidea, Chironomidae (nonbiting midges), Orthocladiinae, Clunio, Clunio marinus",NA
E0W4C3,E0W4C3_PEDHC,8239878 Phum_PHUM617260,8239878,NA,NA,Phum_PHUM617260,Pediculus humanus subsp. corporis (Body louse),121224,"Eukaryotic translation initiation factor 2C, putative (Eukaryotic translation initiation factor 2C,putative)",UP000009046: Unplaced,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Psocodea, Phthiraptera (lice), Anoplura (sucking lice), Pediculidae (body lice), Pediculus, Pediculus humanus (human louse), Pediculus humanus subsp. corporis (Body louse)",NA
A0A482XDA9,A0A482XDA9_LAOST,LSTR_LSTR001680,NA,NA,NA,LSTR_LSTR001680,Laodelphax striatellus (Small brown planthopper) (Delphax striatella),195883,Uncharacterized protein,UP000291343: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Auchenorrhyncha, Fulgoromorpha (planthoppers), Fulgoroidea, Delphacidae, Criomorphinae, Laodelphax, Laodelphax striatellus (Small brown planthopper) (Delphax striatella)",NA
